Wing Area (m2),RPA,Spar Caps,Spar Webs,Skins,Nominal Tension (kN)
10,291.82,9.71,7.78,24.38,30.67
10,296.59,10.66,8.54,24.38,33.67
10,301.37,11.62,9.30,24.38,36.67
10,306.15,12.57,10.06,24.38,39.67
10,304.58,13.52,10.82,24.38,42.67
30,996.63,50.48,40.41,105.24,92.00
30,1018.90,55.41,44.36,105.24,101.00
30,1041.20,60.35,48.31,105.24,110.00
30,1063.50,65.29,52.26,105.24,119.00
30,1085.90,70.23,56.22,105.24,128.00
50,1941.80,108.61,86.94,205.31,153.33
50,1989.10,119.23,95.45,205.31,168.33
50,2036.50,129.85,103.95,205.31,183.33
50,2084.00,140.48,112.46,205.31,198.33
50,2135.90,151.10,120.96,205.31,213.33
70,3073.30,179.91,144.02,317.60,214.67
70,3145.60,197.51,158.11,317.60,235.67
70,3223.00,215.10,172.19,317.60,256.67
70,3301.00,232.70,186.28,317.60,277.67
70,3379.00,250.30,200.37,317.60,298.67
90,4355.90,262.28,209.96,445.97,276.00
90,4469.70,287.94,230.50,445.97,303.00
90,4584.20,313.59,251.03,445.97,330.00
90,4698.80,339.25,271.57,445.97,357.00
90,4813.80,364.91,292.11,445.97,384.00
110,5780.60,354.39,283.70,581.73,337.33
110,5934.80,389.06,311.45,581.73,370.33
110,6089.50,423.73,339.20,581.73,403.33
110,6244.80,458.40,366.96,581.73,436.33
110,6400.50,493.07,394.71,581.73,469.33
130,7333.40,455.32,364.49,727.24,398.67
130,7532.10,499.86,400.14,727.24,437.67
130,7731.40,544.40,435.80,727.24,476.67
130,7931.50,588.94,471.45,727.24,515.67
130,8132.30,633.48,507.11,727.24,554.67
150,9011.00,564.33,451.75,886.06,460.00
150,9258.10,619.54,495.95,886.06,505.00
150,9506.00,674.75,540.14,886.06,550.00
150,9754.90,729.95,584.33,886.06,595.00
150,10005.32,785.16,628.53,886.06,640.00
170,10796.13,680.88,545.05,1050.10,521.33
170,11095.76,747.49,598.37,1050.10,572.33
170,11396.05,814.10,651.69,1050.10,623.33
170,11697.75,880.71,705.01,1050.10,674.33
170,12000.37,947.31,758.33,1050.10,725.33
